Name;Rank
KaBuM! e-Sports;1
FURIA Esports;2
RED Canids;3
PaiN Gaming;4
Netshoes Miners;5
Liberty;6
LOUD;7
Rensga Esports;8
Flamengo Esports;9
INTZ;10
